Rank,Player,From,To,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,-9999
333,Andre Iguodala,2005,2023,1224,32.2,11.4,4.9,4.2,1.4,0.5,.463,.330,.709,100.2,.122,iguodan01
334,Michael Adams,1986,1996,653,31.3,14.7,2.9,6.4,1.7,0.1,.415,.332,.849,46.9,.110,adamsmi01
335,Billy Knight,1977,1985,671,27.4,15.7,4.5,2.1,0.9,0.1,.506,.274,.830,48.5,.126,knighbi01
336,Ben Gordon,2005,2015,744,27.4,14.9,2.5,2.5,0.7,0.2,.432,.401,.857,33.3,.078,gordobe01
337,Jay Vincent,1982,1990,576,27.0,15.2,5.5,2.0,0.7,0.3,.474,.148,.784,27.5,.085,vinceja01
338,Kevin Willis,1985,2007,1424,26.9,12.1,8.4,0.9,0.7,0.5,.487,.211,.713,81.8,.102,willike02
339,Jim Chones,1975,1982,623,30.7,12.3,8.3,1.7,0.5,1.0,.468,.000,.704,37.4,.094,choneji01
340,Vinnie Johnson,1980,1992,984,24.7,12.0,3.2,3.3,0.9,0.3,.464,.254,.740,50.8,.100,johnsvi01
341,Roy Tarpley,1987,1995,280,26.7,12.6,10.0,1.0,1.1,1.2,.483,.176,.744,19.8,.127,tarplro01
342,Vin Baker,1994,2006,791,32.5,15.0,7.4,1.9,0.7,1.0,.485,.215,.638,47.0,.088,bakervi01
343,Darryl Dawkins,1976,1989,726,23.7,12.0,6.1,1.3,0.5,1.4,.572,.133,.685,46.4,.129,dawkida01
344,Jim Jackson,1993,2006,885,32.8,14.3,4.7,3.2,0.8,0.2,.428,.365,.825,35.8,.059,jacksji01
345,Nick Anderson,1990,2002,800,31.2,14.4,5.1,2.6,1.4,0.5,.446,.356,.667,55.3,.106,anderni01
346,Jameer Nelson,2005,2018,878,27.9,11.3,3.0,5.1,0.9,0.1,.436,.368,.810,48.3,.094,nelsoja01
347,Al Jefferson,2005,2018,915,28.7,15.7,8.4,1.5,0.7,1.2,.499,.121,.711,71.0,.130,jeffeal01
348,Rodney McCray,1984,1993,768,32.4,11.7,6.6,3.6,0.8,0.6,.503,.260,.761,56.0,.108,mccraro01
349,Paul Pressey,1983,1993,724,27.2,10.6,3.9,5.1,1.4,0.6,.485,.222,.749,49.0,.120,presspa01
350,Muggsy Bogues,1988,2001,889,28.6,7.7,2.6,7.6,1.5,0.0,.458,.278,.827,54.0,.102,boguemu01
351,Mahmoud Abdul-Rauf,1991,2001,586,26.7,14.6,1.9,3.5,0.8,0.1,.442,.354,.905,25.2,.077,abdulma02
352,Campy Russell,1975,1985,566,29.6,15.8,4.8,3.0,1.0,0.2,.459,.366,.772,35.8,.103,russeca02
353,Monta Ellis,2006,2017,833,34.8,17.8,3.5,4.6,1.7,0.3,.451,.314,.772,41.9,.069,ellismo01
354,Nat Clifton,1951,1958,544,30.0,10.0,8.2,2.5,,,.361,,.633,15.0,.052,cliftna01
355,Robert Horry,1993,2008,1107,24.5,7.0,4.8,2.1,1.0,0.9,.425,.341,.726,66.3,.118,horryro01
356,Steve Smith,1992,2005,942,30.6,14.3,3.2,3.1,0.8,0.3,.440,.358,.845,83.7,.139,smithst01
357,Tayshaun Prince,2003,2016,1017,31.0,11.1,4.3,2.4,0.6,0.5,.455,.367,.756,63.1,.096,princta01
358,Sherman Douglas,1990,2001,765,27.6,11.0,2.2,5.9,1.0,0.1,.484,.267,.678,32.9,.075,douglsh01
359,Walt Hazzard,1965,1974,724,26.5,12.6,3.0,4.9,0.5,0.1,.441,,.757,30.3,.076,abdulma01
360,Chuck Person,1987,2000,943,30.7,14.7,5.1,2.8,0.7,0.2,.458,.362,.723,38.9,.065,persoch01
361,Armen Gilliam,1988,2000,929,28.4,13.7,6.9,1.2,0.7,0.7,.489,.000,.776,58.1,.106,gilliar01
362,John Johnson,1971,1982,869,29.6,12.9,5.5,3.8,0.8,0.4,.446,.000,.779,37.1,.069,johnsjo01
363,Jalen Rose,1995,2007,923,30.3,14.3,3.5,3.8,0.8,0.3,.443,.355,.801,47.2,.081,roseja01
364,Scott Skiles,1987,1996,600,28.0,11.1,2.5,6.5,0.8,0.0,.435,.379,.889,30.4,.087,skilesc01
365,Flynn Robinson,1967,1973,494,23.4,14.5,2.6,3.1,,,.456,,.849,31.3,.130,robinfl01
366,Ricky Sobers,1976,1986,821,28.0,13.3,2.6,4.3,1.3,0.2,.459,.291,.843,32.0,.067,soberri01
367,Mike Bantom,1974,1982,706,27.9,12.1,6.4,2.3,0.9,0.7,.468,.200,.692,34.8,.085,bantomi01
368,Ricky Pierce,1983,1998,969,24.4,14.9,2.4,1.9,0.8,0.2,.493,.322,.875,72.2,.146,piercri01
369,John Shumate,1976,1981,318,28.9,12.3,7.5,1.8,1.0,0.7,.516,.000,.720,24.5,.128,shumajo01
370,Derek Fisher,1997,2014,1287,25.4,8.3,2.1,3.0,1.1,0.1,.399,.374,.817,62.3,.091,fishede01
371,John Starks,1989,2002,866,27.2,12.5,2.5,3.6,1.1,0.1,.412,.340,.769,49.9,.102,starkjo01
372,Antonio McDyess,1996,2011,1015,27.6,12.0,7.5,1.3,0.8,1.1,.497,.117,.670,69.8,.119,mcdyean01
373,Stephen Jackson,2001,2014,858,31.9,15.1,3.9,3.1,1.3,0.4,.414,.333,.798,36.1,.063,jacksst02
374,Larry Drew,1981,1991,714,25.7,11.4,1.8,5.2,1.1,0.1,.467,.291,.798,24.4,.064,drewla01
375,Juwan Howard,1995,2013,1208,30.3,13.4,6.1,2.2,0.7,0.3,.469,.120,.764,59.4,.078,howarju01
376,Richard Jefferson,2002,2018,1181,29.0,12.6,4.0,2.0,0.7,0.3,.464,.376,.768,83.0,.116,jefferi01
377,Vern Fleming,1985,1996,893,27.7,11.3,3.4,4.8,1.0,0.1,.498,.181,.764,52.0,.101,flemive01
378,Steve Stipanovich,1984,1988,403,31.2,13.2,7.8,2.3,1.0,0.9,.484,.179,.796,30.4,.116,stipast01
379,Mark Eaton,1983,1993,875,28.8,6.0,7.9,1.0,0.4,3.5,.458,.000,.649,44.8,.085,eatonma01
380,Jason Terry,2000,2018,1410,29.8,13.4,2.3,3.8,1.1,0.2,.444,.380,.845,102.0,.116,terryja01
381,Johnny Dawkins,1987,1995,541,27.5,11.1,2.5,5.5,1.1,0.1,.456,.330,.857,21.8,.070,dawkijo01
382,Hersey Hawkins,1989,2001,983,32.6,14.7,3.6,2.9,1.7,0.3,.461,.394,.870,90.6,.136,hawkihe01
383,Mychal Thompson,1979,1991,935,29.7,13.7,7.4,2.3,0.7,1.1,.504,.083,.655,59.1,.102,thompmy01
384,Mike Newlin,1972,1982,837,29.4,14.9,3.0,4.0,1.0,0.1,.466,.302,.870,50.4,.098,newlimi01
