Rank,Player,From,To,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,-9999
484,John Long,1979,1997,893,25.4,13.6,2.8,1.9,1.0,0.2,.467,.322,.862,32.0,.068,longjo01
485,Clifford Ray,1972,1981,784,25.4,7.4,8.9,2.2,0.8,1.0,.524,.000,.588,56.7,.136,raycl01
486,Manute Bol,1986,1995,624,18.7,2.6,4.2,0.3,0.2,3.3,.407,.210,.561,12.3,.051,bolma01
487,Joe Graboski,1949,1962,845,30.5,11.0,8.1,1.8,,,.352,,.700,25.3,.051,grabojo01
488,Avery Johnson,1989,2004,1054,25.3,8.4,1.7,5.5,1.0,0.1,.479,.145,.706,56.5,.102,johnsav01
489,Gene Banks,1982,1987,468,27.9,11.3,5.8,2.9,0.9,0.2,.539,.043,.730,31.2,.115,banksge01
490,Šarūnas Marčiulionis,1990,1997,363,22.4,12.8,2.3,2.2,1.3,0.1,.505,.369,.768,20.0,.118,marcisa01
491,Reggie Williams,1988,1997,599,26.7,12.5,4.0,2.5,1.3,0.7,.437,.298,.784,26.0,.078,willire01
492,Antoine Carr,1985,2000,987,20.0,9.3,3.4,1.1,0.4,0.9,.503,.130,.780,42.1,.102,carran01
493,Joe Smith,1996,2011,1030,26.2,10.9,6.4,1.0,0.6,0.8,.455,.238,.790,60.3,.107,smithjo02
494,P.J. Brown,1994,2008,1089,31.1,9.1,7.7,1.5,0.8,1.0,.460,.136,.794,89.8,.128,brownpj01
495,Drew Gooden,2003,2016,790,25.5,11.0,7.1,1.1,0.7,0.6,.462,.257,.760,43.9,.105,goodedr01
496,Kevin Duckworth,1987,1997,684,25.5,11.8,5.8,0.9,0.5,0.5,.468,.208,.736,24.7,.068,duckwke01
497,Chris Kaman,2004,2016,735,26.7,11.2,7.6,1.3,0.4,1.3,.489,.042,.743,24.6,.060,kamanch01
498,Cuttino Mobley,1999,2009,747,37.0,16.0,3.9,2.7,1.2,0.4,.433,.378,.835,52.2,.091,moblecu01
499,David Wesley,1994,2007,949,31.9,12.5,2.5,4.4,1.3,0.2,.424,.368,.786,61.3,.097,wesleda01
500,Pervis Ellison,1990,2001,474,24.5,9.5,6.7,1.5,0.6,1.6,.510,.050,.689,21.8,.090,ellispe01
